label,text
ham,"Hi Lavanya can we meet tomorrow for the project discussion?"
spam,"Congratulations! You have won a FREE iPhone. Click here now."
ham,"Please send me today's meeting notes."
spam,"Limited time offer! Buy one get one free."
ham,"Your assignment submission has been received successfully."
spam,"Claim your prize worth ₹50000 immediately."
ham,"Don't forget our class at 10 AM."
spam,"You have been selected for a lottery of ₹10 lakh."
ham,"Happy Birthday! Have a wonderful day."
spam,"Lowest price medicines available. Order today."
ham,"Can you share the presentation?"
spam,"Win cash rewards by clicking this link."
ham,"Let's have lunch together."
spam,"Exclusive deal! Get 90% discount now."
ham,"Please review the attached document."
spam,"Your account is blocked. Verify immediately."
ham,"Thank you for your payment."
spam,"FREE vacation tickets available now."
ham,"Meeting has been rescheduled to Friday."
spam,"Click here to claim your bonus."
ham,"Good morning, have a nice day."
spam,"Cheap loans available with instant approval."
ham,"Project deadline is next Monday."
spam,"You are selected as lucky customer."
ham,"Can we discuss the report today?"
spam,"Special discount on shopping today only."
ham,"Please call me when you arrive."
spam,"Earn money from home without investment."
ham,"Your interview is scheduled tomorrow."
spam,"Congratulations! Claim your reward now."
